learner_id,proficiency_level,learning_goal,session_num,activity_type,content_difficulty,prev_score,real_time_score,engagement_level,adaptive_action,path_updated,reward_signal,next_proficiency
L0030,Intermediate,JLPT N4,20,Kanji,2.3,54.71,55.98,0.64,Repeat,True,0.06,1.31
L0097,Intermediate,JLPT N5,1,Vocabulary,4.31,57.97,56.35,0.66,Repeat,False,-0.08,1.64
L0002,Advanced,JLPT N5,9,Listening,3.67,67.8,59.34,0.79,Test,True,-0.4,1.43
L0076,Intermediate,JLPT N5,3,Listening,2.85,55.11,56.13,0.65,Test,False,0.05,1.47
L0051,Advanced,JLPT N5,5,Kanji,7.47,48.6,51.98,0.61,Advance,True,0.17,1.91
L0095,Advanced,Conversational,6,Grammar,6.53,52.75,45.0,0.81,Advance,True,-0.37,1.6
L0085,Beginner,Writing,5,Listening,7.81,90.88,82.08,0.88,Revise,False,-0.41,1.84
L0081,Advanced,Reading,6,Kanji,6.58,76.47,65.5,0.8,Test,False,-0.5,1.52
L0007,Intermediate,JLPT N4,19,Kanji,3.56,65.95,64.52,0.66,Test,False,-0.07,1.77
L0039,Beginner,Writing,8,Listening,4.22,56.72,53.15,0.76,Test,False,-0.18,1.64
L0012,Advanced,Conversational,16,Listening,7.73,100.0,96.76,0.93,Advance,True,-0.16,1.93
L0018,Intermediate,Writing,5,Grammar,4.71,72.71,82.36,0.89,Repeat,False,0.45,1.61
L0019,Beginner,JLPT N5,20,Vocabulary,5.5,75.2,68.4,0.41,Test,False,-0.33,1.73
L0047,Advanced,Conversational,6,Kanji,6.71,96.83,100.0,0.98,Revise,False,0.16,1.97
L0075,Intermediate,JLPT N4,18,Vocabulary,5.35,51.75,62.24,0.46,Test,True,0.48,1.89
L0064,Advanced,Reading,1,Listening,4.99,64.25,59.62,0.82,Repeat,True,-0.23,1.37
L0046,Beginner,Conversational,3,Kanji,6.64,98.45,96.0,0.49,Repeat,False,-0.12,1.81
L0041,Advanced,Reading,14,Kanji,5.63,70.89,79.99,0.6,Advance,False,0.43,1.79
L0014,Advanced,JLPT N5,1,Vocabulary,4.47,100.0,100.0,0.5,Advance,True,0.0,1.83
L0002,Beginner,Reading,3,Vocabulary,4.98,72.86,78.93,0.82,Repeat,False,0.29,1.72
L0042,Advanced,Conversational,5,Grammar,4.75,81.11,76.58,0.57,Advance,False,-0.22,1.92
L0036,Advanced,Conversational,1,Grammar,3.15,62.31,69.41,0.79,Test,True,0.34,1.71
L0089,Intermediate,Conversational,8,Kanji,2.7,90.84,82.29,0.53,Advance,False,-0.4,1.62
L0033,Intermediate,Conversational,8,Vocabulary,7.17,85.81,72.03,0.87,Repeat,False,-0.6,1.53
L0033,Advanced,JLPT N5,3,Grammar,6.31,48.46,36.63,0.35,Repeat,False,-0.53,1.47
L0005,Advanced,Reading,14,Grammar,5.46,72.64,61.12,0.37,Advance,False,-0.52,1.31
L0066,Beginner,JLPT N5,19,Listening,9.63,41.99,48.85,0.32,Repeat,True,0.33,1.17
L0080,Beginner,Reading,20,Vocabulary,1.02,76.39,70.98,0.98,Test,True,-0.26,1.87
L0047,Advanced,JLPT N5,7,Kanji,9.78,97.65,100.0,0.98,Test,True,0.12,2.17
L0045,Beginner,JLPT N5,10,Grammar,7.1,60.57,56.13,0.35,Repeat,True,-0.22,1.23
L0012,Advanced,Conversational,5,Listening,8.56,59.84,44.35,0.37,Revise,True,-0.65,1.37
L0099,Intermediate,JLPT N5,8,Listening,5.37,78.67,100.0,0.6,Repeat,True,0.79,2.05
L0063,Intermediate,JLPT N4,3,Kanji,3.54,50.8,48.43,0.37,Repeat,True,-0.12,1.86
L0078,Advanced,Conversational,16,Grammar,3.9,86.45,100.0,0.33,Revise,True,0.59,1.9
L0032,Beginner,Reading,5,Vocabulary,4.35,77.87,100.0,0.78,Revise,True,0.8,2.02
L0058,Beginner,JLPT N5,16,Kanji,5.4,61.0,61.69,0.96,Advance,True,0.03,1.54
L0041,Advanced,Writing,12,Listening,8.17,51.43,72.76,0.96,Test,True,0.79,1.34
L0051,Advanced,Writing,3,Grammar,6.0,85.91,79.22,0.45,Test,True,-0.32,1.62
L0031,Advanced,Writing,14,Listening,4.03,73.11,81.96,0.32,Repeat,False,0.42,1.73
L0067,Advanced,JLPT N4,2,Kanji,4.94,44.25,33.82,0.96,Revise,False,-0.48,1.6
L0026,Advanced,Writing,4,Vocabulary,5.9,68.82,46.65,0.7,Revise,True,-0.8,1.74
L0064,Advanced,Reading,3,Kanji,4.96,71.76,84.54,0.54,Test,False,0.56,1.73
L0056,Advanced,Conversational,5,Vocabulary,6.53,53.33,44.71,0.56,Test,True,-0.41,1.61
L0001,Advanced,Reading,17,Vocabulary,7.61,70.32,77.13,0.57,Test,True,0.33,1.71
L0028,Intermediate,Conversational,12,Kanji,5.78,68.13,66.13,0.65,Repeat,False,-0.1,2.07
L0092,Advanced,Reading,16,Listening,1.42,63.3,75.35,0.83,Repeat,False,0.54,1.51
L0097,Intermediate,Reading,16,Kanji,3.6,69.87,48.97,0.92,Revise,True,-0.78,1.84
L0079,Beginner,Conversational,11,Kanji,6.78,77.44,78.0,0.6,Revise,True,0.03,1.79
L0045,Beginner,Reading,8,Listening,4.06,73.48,59.0,0.87,Advance,True,-0.62,1.31
L0042,Advanced,Writing,7,Grammar,3.56,66.8,69.91,0.6,Repeat,True,0.15,1.99
L0091,Beginner,Conversational,19,Listening,4.96,54.96,54.78,0.34,Test,True,-0.01,1.49
L0084,Advanced,JLPT N5,8,Listening,5.65,57.59,62.79,0.97,Test,True,0.25,1.93
L0023,Advanced,Conversational,17,Vocabulary,5.11,57.34,70.93,0.98,Advance,False,0.59,1.65
L0019,Advanced,Reading,13,Grammar,5.45,70.19,71.17,0.98,Advance,True,0.05,1.56
L0034,Advanced,Writing,18,Vocabulary,4.06,61.66,52.68,0.82,Revise,True,-0.42,1.83
L0024,Intermediate,Writing,11,Listening,4.78,84.64,70.12,0.43,Test,False,-0.62,1.86
L0047,Intermediate,Writing,8,Kanji,7.07,42.85,23.72,0.87,Advance,False,-0.74,1.31
L0001,Advanced,JLPT N4,16,Kanji,6.48,92.15,99.15,0.91,Advance,True,0.34,1.97
L0012,Beginner,JLPT N5,13,Vocabulary,4.38,52.45,51.37,0.99,Repeat,True,-0.05,1.82
L0004,Advanced,JLPT N4,11,Vocabulary,1.57,90.31,89.16,0.59,Repeat,False,-0.06,2.14
L0096,Beginner,Conversational,1,Vocabulary,5.68,98.67,100.0,0.71,Test,False,0.07,2.04
L0096,Beginner,Reading,5,Vocabulary,3.71,90.34,82.94,0.48,Repeat,False,-0.35,1.7
L0080,Advanced,Writing,13,Vocabulary,2.26,78.03,88.64,0.55,Repeat,True,0.49,2.19
L0093,Intermediate,Reading,8,Kanji,5.0,63.61,76.36,0.52,Test,True,0.56,1.75
L0024,Beginner,Reading,1,Kanji,9.12,96.33,93.84,0.39,Test,False,-0.12,2.13
L0084,Advanced,Conversational,15,Kanji,7.79,64.15,75.65,0.93,Repeat,False,0.52,1.86
L0060,Advanced,JLPT N4,2,Vocabulary,7.12,43.62,31.79,0.93,Advance,True,-0.53,1.0
L0078,Beginner,Writing,20,Kanji,1.0,99.42,96.79,0.67,Advance,True,-0.13,2.07
L0046,Advanced,JLPT N5,17,Listening,4.97,81.95,79.13,0.99,Revise,True,-0.14,1.46
L0075,Advanced,Reading,2,Grammar,7.25,48.38,47.15,0.39,Revise,False,-0.06,1.46
L0029,Beginner,JLPT N5,16,Grammar,2.8,77.32,84.79,0.63,Revise,True,0.36,1.79
L0046,Advanced,JLPT N5,18,Kanji,2.27,77.56,72.53,0.54,Test,True,-0.25,1.93
L0017,Advanced,Reading,6,Vocabulary,4.79,54.47,48.93,0.65,Advance,False,-0.27,1.25
L0044,Beginner,Reading,13,Kanji,3.75,65.9,85.54,0.66,Advance,False,0.75,1.82
L0081,Intermediate,JLPT N5,11,Vocabulary,6.7,60.69,53.33,0.45,Repeat,True,-0.35,1.65
L0025,Beginner,JLPT N4,14,Kanji,1.97,90.5,100.0,0.33,Advance,False,0.44,1.95
L0063,Advanced,JLPT N5,19,Grammar,6.15,74.67,100.0,0.38,Repeat,True,0.85,2.22
L0075,Intermediate,JLPT N5,6,Vocabulary,1.79,73.05,65.49,0.31,Advance,True,-0.36,1.37
L0075,Intermediate,Conversational,17,Listening,3.71,53.78,70.65,0.85,Revise,True,0.69,1.88
L0052,Advanced,Conversational,13,Listening,10.0,60.64,64.66,0.71,Revise,False,0.2,1.98
L0075,Intermediate,Writing,12,Grammar,4.22,59.97,73.93,0.7,Test,True,0.6,1.48
L0046,Beginner,JLPT N5,13,Listening,5.99,67.09,65.02,0.9,Test,False,-0.1,1.19
L0056,Beginner,Conversational,9,Listening,5.1,57.54,60.24,0.38,Revise,True,0.13,1.59
L0049,Beginner,Conversational,2,Vocabulary,6.59,72.18,90.13,0.87,Repeat,False,0.72,1.89
L0100,Advanced,Conversational,2,Grammar,9.09,94.29,100.0,0.43,Test,True,0.28,1.85
L0035,Intermediate,Writing,4,Listening,5.56,28.89,24.3,0.73,Repeat,False,-0.23,1.18
L0048,Intermediate,JLPT N5,6,Kanji,2.72,74.02,100.0,0.34,Advance,False,0.86,1.68
L0060,Beginner,Conversational,18,Listening,9.13,40.83,26.82,0.78,Advance,True,-0.6,1.31
L0072,Beginner,JLPT N5,20,Vocabulary,6.67,53.05,58.35,0.63,Repeat,True,0.26,1.87
L0059,Intermediate,Reading,3,Vocabulary,6.15,66.95,70.67,0.96,Revise,False,0.18,1.59
L0034,Advanced,Reading,12,Grammar,6.34,67.16,72.95,0.83,Test,True,0.28,1.83
L0095,Intermediate,Conversational,3,Vocabulary,5.79,63.69,66.58,0.55,Revise,True,0.14,2.08
L0048,Beginner,JLPT N4,13,Kanji,8.42,82.37,100.0,0.93,Revise,True,0.71,1.92
L0017,Advanced,Writing,6,Grammar,1.0,92.66,74.05,0.57,Repeat,False,-0.73,1.94
L0045,Advanced,Writing,2,Kanji,6.78,71.43,62.59,0.96,Repeat,False,-0.42,1.68
L0049,Beginner,JLPT N4,7,Kanji,6.83,86.36,100.0,0.7,Test,True,0.59,1.99
L0015,Advanced,Writing,6,Grammar,6.66,85.15,80.18,0.44,Revise,False,-0.24,1.88
L0056,Intermediate,JLPT N4,2,Grammar,5.96,75.0,85.38,0.38,Advance,False,0.48,1.75
L0094,Beginner,JLPT N4,4,Vocabulary,9.51,56.0,87.74,0.64,Repeat,True,0.92,1.91
L0045,Intermediate,JLPT N4,4,Vocabulary,6.93,84.6,98.46,0.68,Advance,True,0.6,2.19
L0069,Intermediate,JLPT N5,11,Kanji,7.36,75.37,74.25,0.46,Advance,True,-0.06,1.81
L0032,Intermediate,JLPT N5,15,Grammar,6.63,47.48,44.79,0.81,Revise,True,-0.13,1.36
L0088,Intermediate,Writing,11,Vocabulary,5.22,80.89,85.7,0.8,Test,False,0.24,1.9
L0036,Intermediate,JLPT N4,10,Listening,3.79,89.53,83.25,0.43,Test,False,-0.3,1.73
L0063,Advanced,JLPT N5,1,Kanji,5.11,86.41,69.49,0.34,Revise,True,-0.69,2.0
L0072,Advanced,Writing,9,Kanji,6.23,60.54,51.39,0.59,Repeat,False,-0.43,1.56
L0072,Intermediate,Writing,11,Vocabulary,4.87,82.11,90.52,0.71,Test,False,0.4,1.9
L0039,Beginner,Reading,12,Kanji,4.62,74.69,62.75,0.32,Advance,False,-0.54,1.68
L0034,Intermediate,JLPT N5,1,Grammar,7.16,42.33,32.15,0.97,Test,True,-0.47,1.42
L0015,Intermediate,Conversational,17,Listening,7.21,72.64,59.24,0.51,Revise,False,-0.58,1.62
L0059,Beginner,Reading,13,Vocabulary,2.27,41.33,35.66,0.63,Revise,False,-0.28,1.58
L0100,Beginner,Conversational,17,Kanji,4.93,61.85,54.72,0.84,Revise,False,-0.34,1.57
L0050,Intermediate,Writing,15,Kanji,9.86,99.25,93.61,0.84,Test,True,-0.27,1.22
L0092,Intermediate,Writing,4,Vocabulary,5.58,66.18,64.68,0.49,Repeat,False,-0.07,1.75
L0068,Beginner,JLPT N5,14,Listening,7.83,71.88,69.31,0.69,Advance,False,-0.13,1.9
L0021,Intermediate,Conversational,3,Grammar,6.44,53.06,47.82,0.76,Advance,True,-0.26,1.58
L0088,Advanced,Writing,15,Grammar,6.72,79.35,79.48,0.86,Repeat,True,0.01,1.81
L0070,Intermediate,JLPT N5,16,Vocabulary,8.29,54.89,48.32,0.93,Test,False,-0.32,1.3
L0058,Beginner,Conversational,7,Listening,7.73,81.55,84.85,0.79,Repeat,True,0.16,2.02
L0072,Beginner,Reading,1,Vocabulary,3.95,85.74,78.69,0.71,Advance,True,-0.34,1.51
L0014,Advanced,Reading,12,Grammar,4.05,85.24,78.96,0.9,Revise,False,-0.3,2.04
L0026,Advanced,JLPT N4,3,Vocabulary,6.94,69.54,66.18,0.32,Repeat,False,-0.17,1.93
L0032,Intermediate,Writing,14,Kanji,6.74,85.86,72.27,0.75,Revise,True,-0.59,1.63
L0038,Intermediate,Writing,14,Grammar,5.04,75.21,69.82,0.31,Advance,True,-0.26,1.54
L0085,Advanced,Reading,18,Listening,7.69,71.9,64.31,0.58,Advance,True,-0.36,1.64
L0067,Intermediate,JLPT N5,6,Kanji,4.06,77.9,94.11,0.77,Test,True,0.67,2.26
L0014,Beginner,JLPT N5,7,Kanji,7.37,73.86,87.9,0.6,Revise,False,0.61,1.78
L0030,Advanced,JLPT N5,2,Listening,6.04,59.11,60.98,0.47,Repeat,False,0.09,1.46
L0094,Beginner,Conversational,11,Grammar,3.15,49.72,39.97,0.7,Test,True,-0.45,1.61
L0062,Beginner,Writing,2,Listening,6.04,68.23,67.73,0.49,Repeat,True,-0.02,1.45
L0093,Intermediate,Reading,15,Kanji,6.22,47.21,47.16,0.72,Revise,True,-0.0,1.34
L0010,Beginner,JLPT N4,2,Kanji,4.04,100.0,87.32,0.59,Advance,True,-0.56,1.61
L0016,Beginner,Conversational,11,Vocabulary,3.11,100.0,100.0,0.97,Revise,False,0.0,1.88
L0052,Beginner,Writing,17,Grammar,4.85,79.31,81.09,0.91,Test,False,0.09,1.54
L0071,Advanced,Conversational,8,Listening,7.57,80.34,88.71,0.99,Test,True,0.4,2.16
L0077,Beginner,JLPT N5,18,Kanji,1.95,69.13,77.32,0.32,Advance,False,0.39,1.8
L0024,Intermediate,JLPT N5,7,Vocabulary,5.89,66.8,78.09,0.89,Repeat,False,0.51,1.76
L0021,Intermediate,Reading,18,Vocabulary,9.38,75.1,62.36,0.69,Repeat,True,-0.56,1.91
L0091,Beginner,JLPT N5,13,Kanji,5.44,62.82,75.38,0.35,Test,True,0.56,1.57
L0094,Intermediate,Reading,15,Vocabulary,5.35,90.83,100.0,0.66,Revise,True,0.43,2.17
L0060,Advanced,JLPT N4,13,Grammar,2.3,78.78,85.92,0.86,Advance,True,0.34,1.87
L0068,Beginner,JLPT N5,7,Kanji,10.0,60.24,53.47,0.36,Advance,False,-0.33,1.23
L0082,Beginner,Reading,7,Kanji,8.48,72.53,72.44,0.51,Repeat,False,-0.0,1.7
L0032,Advanced,JLPT N4,18,Listening,2.99,58.48,58.14,0.57,Repeat,True,-0.02,1.63
L0067,Beginner,JLPT N4,4,Listening,6.97,66.79,66.3,0.73,Repeat,False,-0.02,1.8
L0065,Beginner,Reading,7,Listening,5.33,77.39,80.28,0.46,Revise,False,0.14,2.29
L0020,Advanced,JLPT N4,2,Grammar,4.17,68.44,73.59,0.45,Test,True,0.25,1.97
L0058,Advanced,Reading,9,Vocabulary,4.25,52.4,60.36,0.41,Revise,True,0.38,1.81
L0078,Advanced,Reading,3,Kanji,3.59,59.45,83.02,0.71,Test,False,0.83,2.02
L0046,Beginner,JLPT N5,2,Vocabulary,1.0,56.82,55.01,0.33,Advance,False,-0.09,1.2
L0040,Intermediate,Writing,2,Grammar,5.57,75.02,81.6,0.36,Revise,True,0.32,2.22
L0037,Advanced,JLPT N5,15,Grammar,5.09,60.54,69.61,0.7,Repeat,True,0.42,1.7
L0047,Intermediate,JLPT N5,8,Grammar,6.36,97.7,100.0,0.86,Repeat,True,0.11,1.93
L0022,Intermediate,Writing,8,Vocabulary,3.72,62.89,58.24,0.47,Revise,True,-0.23,1.39
L0047,Advanced,Writing,10,Listening,5.64,60.56,62.51,0.97,Advance,True,0.1,1.59
L0010,Intermediate,Writing,19,Listening,3.92,79.58,95.26,0.48,Test,True,0.65,2.02
L0097,Intermediate,JLPT N5,2,Vocabulary,6.64,47.66,47.91,0.48,Revise,True,0.01,1.5
L0068,Intermediate,Conversational,13,Vocabulary,4.38,73.29,75.78,0.97,Test,True,0.12,2.07
L0093,Advanced,JLPT N4,15,Vocabulary,5.35,76.13,74.26,0.8,Repeat,True,-0.09,1.66
L0031,Intermediate,Conversational,17,Listening,1.38,84.48,79.67,0.91,Repeat,False,-0.24,1.82
L0059,Beginner,Conversational,15,Kanji,5.73,62.11,60.8,0.84,Repeat,True,-0.07,1.2
L0095,Advanced,JLPT N4,2,Vocabulary,2.1,37.02,41.42,0.79,Repeat,False,0.22,1.31
L0074,Advanced,Writing,20,Grammar,5.93,78.67,73.82,0.91,Revise,False,-0.24,1.67
L0098,Intermediate,Reading,12,Kanji,1.31,61.5,73.13,0.82,Advance,False,0.52,1.55
L0070,Beginner,Conversational,3,Vocabulary,5.15,66.56,76.06,0.63,Test,True,0.44,1.69
L0034,Beginner,Conversational,8,Grammar,4.16,62.77,79.04,0.31,Revise,True,0.67,1.29
L0081,Intermediate,JLPT N5,12,Grammar,7.5,77.37,67.06,0.39,Test,True,-0.47,1.66
L0097,Beginner,Reading,12,Listening,5.73,46.3,40.57,0.76,Revise,True,-0.28,1.31
L0009,Intermediate,Writing,2,Vocabulary,3.73,84.94,82.17,0.35,Revise,True,-0.14,1.82
L0031,Advanced,Conversational,18,Listening,9.94,62.56,72.8,0.9,Revise,False,0.47,1.51
L0078,Intermediate,Conversational,6,Listening,5.52,77.04,70.83,0.37,Repeat,False,-0.3,1.8
L0013,Advanced,Writing,14,Listening,4.99,52.62,67.66,0.69,Revise,True,0.64,1.85
L0007,Beginner,JLPT N4,18,Vocabulary,5.42,39.37,36.9,0.32,Repeat,True,-0.12,1.23
L0061,Beginner,JLPT N5,20,Vocabulary,2.23,53.39,62.58,0.33,Revise,True,0.43,1.74
L0041,Advanced,JLPT N5,12,Kanji,5.55,58.02,76.14,0.91,Revise,True,0.72,1.83
L0006,Beginner,Writing,18,Kanji,7.53,78.39,75.04,0.76,Advance,False,-0.17,2.23
L0018,Advanced,Reading,16,Kanji,7.63,72.96,93.72,0.67,Test,False,0.78,1.8
L0037,Intermediate,Writing,10,Kanji,8.37,63.1,80.42,0.64,Revise,False,0.7,2.02
L0084,Advanced,JLPT N4,19,Listening,2.94,62.06,68.25,0.65,Advance,True,0.3,1.91
L0079,Beginner,JLPT N4,18,Kanji,6.01,40.04,31.61,0.58,Test,False,-0.4,1.31
L0031,Advanced,JLPT N4,15,Kanji,4.49,44.97,48.96,0.82,Advance,False,0.2,1.62
L0079,Intermediate,JLPT N4,20,Vocabulary,7.77,81.36,81.65,0.68,Repeat,False,0.01,2.13
L0002,Advanced,Writing,19,Grammar,1.88,100.0,98.95,0.91,Repeat,False,-0.05,2.35
L0069,Advanced,JLPT N4,2,Vocabulary,6.2,87.0,74.23,0.63,Test,True,-0.56,1.43
L0041,Intermediate,JLPT N4,15,Vocabulary,6.5,59.24,75.81,0.74,Test,False,0.68,1.45
L0034,Intermediate,Conversational,14,Listening,4.95,87.59,93.03,0.61,Repeat,True,0.27,1.86
L0006,Beginner,Reading,7,Grammar,7.3,43.9,40.28,0.98,Repeat,False,-0.18,1.18
L0018,Beginner,Conversational,2,Vocabulary,8.43,93.06,79.0,0.46,Test,False,-0.61,1.68
L0066,Intermediate,Writing,10,Grammar,1.0,73.81,71.22,0.47,Test,True,-0.13,1.96
L0026,Intermediate,Writing,11,Grammar,2.41,47.31,30.94,0.67,Test,False,-0.67,1.55
L0029,Beginner,JLPT N4,17,Grammar,5.76,76.45,86.75,0.44,Advance,False,0.47,1.92
L0018,Beginner,Reading,20,Vocabulary,4.86,69.44,76.72,0.33,Revise,True,0.35,1.78
L0041,Intermediate,Conversational,3,Grammar,6.47,68.79,69.58,0.33,Advance,True,0.04,1.3
L0020,Advanced,JLPT N5,10,Grammar,4.04,33.17,17.73,0.67,Repeat,True,-0.65,1.28
L0020,Intermediate,Reading,12,Grammar,2.87,71.38,72.02,0.41,Repeat,False,0.03,1.74
L0096,Intermediate,Reading,1,Grammar,3.56,77.26,85.31,0.99,Repeat,True,0.38,1.61
L0057,Beginner,JLPT N4,11,Listening,4.94,100.0,100.0,0.7,Repeat,False,0.0,2.06
L0099,Intermediate,JLPT N4,12,Grammar,5.4,66.11,67.91,0.96,Revise,True,0.09,1.83
L0081,Intermediate,Reading,14,Kanji,8.27,52.8,55.83,1.0,Revise,False,0.15,1.41
L0058,Beginner,JLPT N4,6,Grammar,6.6,64.03,61.41,0.38,Repeat,False,-0.13,1.51
L0073,Intermediate,Conversational,2,Vocabulary,1.63,55.99,66.46,0.83,Revise,True,0.48,1.78
L0080,Beginner,JLPT N5,9,Kanji,6.58,64.13,49.44,0.75,Advance,False,-0.63,1.31
L0022,Intermediate,JLPT N4,15,Kanji,7.68,93.8,73.6,0.68,Repeat,False,-0.77,1.95
L0084,Beginner,JLPT N4,1,Listening,3.72,50.15,66.57,0.73,Revise,True,0.68,1.87
L0080,Beginner,JLPT N4,14,Vocabulary,10.0,70.5,54.19,0.63,Revise,True,-0.67,1.58
L0083,Advanced,JLPT N4,11,Kanji,6.36,78.63,76.11,0.95,Repeat,True,-0.13,1.84
L0032,Intermediate,JLPT N4,15,Grammar,4.81,48.86,44.19,0.73,Repeat,False,-0.23,1.36
L0080,Beginner,Writing,20,Listening,6.04,73.1,97.66,0.36,Revise,False,0.84,2.17
L0035,Intermediate,Writing,18,Kanji,5.63,69.0,69.92,0.39,Revise,True,0.05,1.96
L0019,Beginner,Conversational,12,Grammar,5.21,49.99,43.98,0.7,Advance,True,-0.29,1.5
L0012,Beginner,JLPT N5,10,Vocabulary,4.71,81.94,86.71,0.38,Test,False,0.23,1.41
L0034,Beginner,Conversational,13,Vocabulary,7.41,75.76,72.92,0.45,Advance,False,-0.14,1.81
L0062,Advanced,JLPT N5,10,Kanji,4.07,53.78,55.54,0.69,Advance,False,0.09,1.61
L0008,Beginner,JLPT N5,5,Vocabulary,7.14,56.31,60.66,0.87,Test,True,0.21,1.79
L0042,Beginner,Reading,19,Vocabulary,3.33,100.0,88.12,0.82,Advance,True,-0.53,1.94
L0100,Advanced,Reading,2,Grammar,9.94,41.62,36.14,0.46,Test,False,-0.27,1.17
L0049,Advanced,Conversational,7,Listening,1.93,74.02,88.61,0.65,Repeat,True,0.62,1.55
L0042,Advanced,Writing,2,Vocabulary,6.33,46.76,40.58,0.61,Test,False,-0.3,1.79
L0027,Advanced,JLPT N4,9,Kanji,6.14,94.43,90.63,0.36,Advance,False,-0.19,1.87
L0069,Intermediate,JLPT N5,1,Kanji,1.74,93.71,79.34,0.73,Revise,False,-0.62,1.55
L0042,Beginner,Reading,13,Listening,3.48,70.5,64.28,0.68,Advance,True,-0.3,1.78
L0063,Beginner,Writing,6,Vocabulary,8.38,83.06,80.59,0.43,Repeat,False,-0.12,1.5
L0100,Beginner,JLPT N5,2,Kanji,8.35,76.29,69.24,0.69,Revise,False,-0.34,1.68
L0027,Advanced,JLPT N5,4,Vocabulary,5.22,75.67,68.91,0.59,Repeat,False,-0.33,1.79
L0038,Beginner,JLPT N4,16,Listening,4.96,75.75,66.62,0.98,Repeat,False,-0.43,1.61
L0012,Intermediate,JLPT N5,5,Listening,6.73,81.46,89.19,0.37,Repeat,True,0.37,1.66
L0071,Advanced,JLPT N5,18,Listening,5.85,75.03,76.59,0.41,Advance,False,0.08,2.26
L0040,Advanced,JLPT N5,14,Vocabulary,4.42,63.88,52.32,0.54,Revise,False,-0.52,1.22
L0023,Beginner,Reading,9,Kanji,7.62,70.59,72.52,0.91,Revise,False,0.1,1.71
L0049,Advanced,JLPT N5,6,Grammar,4.99,82.58,83.4,0.57,Revise,False,0.04,1.81
L0049,Intermediate,Conversational,10,Listening,5.53,74.83,68.14,0.36,Test,False,-0.32,1.88
L0093,Beginner,Conversational,3,Kanji,6.07,56.52,56.8,0.75,Repeat,False,0.01,1.57
L0039,Advanced,JLPT N4,2,Listening,4.95,82.27,96.17,0.42,Test,True,0.6,2.07
L0068,Advanced,JLPT N4,3,Vocabulary,3.4,75.27,84.78,0.46,Advance,False,0.44,1.17
L0066,Beginner,Reading,13,Kanji,6.02,70.81,52.79,0.65,Revise,True,-0.72,1.4
L0069,Advanced,Conversational,18,Vocabulary,6.45,63.12,46.55,0.57,Test,True,-0.68,1.72
L0023,Advanced,JLPT N5,5,Vocabulary,4.57,92.36,93.85,0.99,Test,True,0.07,1.87
L0054,Intermediate,Reading,19,Listening,3.58,82.82,88.3,0.73,Test,False,0.27,1.7
L0067,Intermediate,Writing,4,Listening,1.93,83.69,88.68,0.6,Revise,True,0.24,2.34
L0060,Advanced,Writing,5,Listening,4.74,84.84,79.77,0.59,Revise,True,-0.25,1.56
L0066,Advanced,Reading,14,Listening,4.19,52.57,50.24,0.85,Repeat,True,-0.12,1.29
L0062,Intermediate,JLPT N4,10,Vocabulary,3.01,78.69,63.36,0.88,Revise,True,-0.64,1.84
L0047,Beginner,Reading,13,Kanji,4.97,78.69,79.89,0.62,Repeat,False,0.06,1.6
L0023,Advanced,Reading,20,Grammar,3.63,63.13,70.45,0.87,Repeat,True,0.35,1.46
L0086,Beginner,Writing,20,Listening,4.39,85.39,88.31,0.96,Repeat,True,0.14,1.74
